respID,qID,profileID,altID,obsID,choice,time_sec_p1,ownhome,oftencook,time_sec_p2,time_sec_p3,induction,inductionOther,heatingeff,heatingeffOther,carbon,carbonOther,yearOfBirth,feedback,time_min_total,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,Indoor_air_Quality,number_of_burners
8,1,27,3,57,1,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Induction,1500,8,0,3
8,2,52,1,58,0,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Gas,1500,8,5,3
8,2,164,2,58,1,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Electric,500,6,0,5
8,2,159,3,58,0,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Induction,800,8,10,4
8,3,22,1,59,0,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Gas,800,8,0,3
8,3,5,2,59,1,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Electric,800,6,0,3
8,3,150,3,59,0,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Induction,800,7,10,4
8,4,76,1,60,0,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Gas,800,8,10,3
8,4,59,2,60,0,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Electric,800,6,10,3
8,4,114,3,60,1,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Induction,800,6,5,4
8,5,64,1,61,0,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Gas,500,7,10,3
8,5,71,2,61,1,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Electric,1500,7,10,3
8,5,207,3,61,0,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Induction,1500,7,5,5
8,6,154,1,62,0,17,1,1,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9166666666666667,Gas,500,8,10,4
